PRES,HGHT,TEMP,DWPT,FRPT,RELH,RELI,MIXR,DRCT,SKNT,THTA,THTE,THTV
528.1,5486.0,-1.8611111111111112,-19.966666666666665,-17.994444444444444,34.0,34.72222222222222,2.092222222222222,161.94444444444446,14.72222222222222,325.5611111111112,332.8111111111112,325.97222222222223
528.2,5471.666666666667,-2.825,-21.95,-19.85,34.333333333333336,35.833333333333336,1.9391666666666667,187.08333333333331,16.583333333333332,324.39166666666665,331.09166666666664,324.77500000000003
528.3,5471.666666666667,-3.275,-16.391666666666666,-14.7,41.75,43.41666666666666,2.3383333333333334,115.83333333333331,14.166666666666666,323.8666666666667,331.93333333333334,324.31666666666666
528.4,5471.666666666667,-3.141666666666667,-18.95833333333333,-17.016666666666666,36.75,38.333333333333336,1.9766666666666663,235.83333333333331,16.833333333333332,323.975,330.81666666666666,324.3666666666667
528.5,5419.111111111111,-1.5333333333333332,-25.87777777777778,-23.41111111111111,19.88888888888889,20.33333333333333,1.2766666666666666,248.88888888888889,19.444444444444443,325.9222222222222,330.4555555555555,326.14444444444445
528.6,5449.142857142857,-2.042857142857143,-24.935714285714287,-22.607142857142858,28.857142857142858,29.5,1.762857142857143,241.42857142857144,19.857142857142858,325.2857142857143,331.35714285714283,325.62857142857143
528.7,5415.636363636364,-3.163636363636364,-22.62727272727273,-20.43636363636364,28.90909090909091,29.63636363636364,1.6745454545454548,234.0909090909091,23.818181818181817,323.90909090909093,329.76363636363635,324.22727272727275
528.8,5443.0,-2.89,-16.36,-14.71,44.5,46.1,2.579,205.5,23.1,324.19,333.06,324.71
528.9,5486.0,-2.38,-24.860000000000003,-22.42,19.2,19.6,1.136,114.0,11.6,324.86,328.94,325.06000000000006
529.0,5441.968454258675,-2.883596214511041,-20.874763406940065,-18.8794952681388,37.84858044164038,39.08201892744479,2.1841955835962144,233.6340694006309,18.79495268138801,324.18895899053626,331.6917981072555,324.6246056782334
529.1,5421.5,-2.5,-11.95,-10.7125,56.5,58.25,3.40625,268.75,25.25,324.6125,336.1875,325.2875
529.2,5408.6,-3.0900000000000003,-22.15,-20.07,38.0,39.2,2.153,281.5,25.0,323.91,331.27,324.35
529.3,5400.0,-2.675,-16.45,-14.8,48.25,50.0,2.7025,301.25,21.0,324.4,333.6,324.925
529.4,5436.857142857143,-2.8000000000000003,-26.2,-23.728571428571428,22.857142857142858,23.5,1.3635714285714289,230.0,23.428571428571427,324.2214285714286,329.0142857142857,324.49285714285713
529.5,5443.0,-3.075,-22.225,-20.125,32.0,33.25,1.845,285.0,13.75,323.875,330.3,324.275
529.6,5443.0,-1.9,-14.6,-13.225,59.0,60.5,3.5875000000000004,295.0,18.75,325.3,337.4,326.0
